Stocks,Date,Party,Category,Transaction Type,Quantity,Value Traded (₹),Holdings change(%),Average Trade Price(₹)
"JHS Svendgaard Retail Ventures Ltd","2024-07-12","QE SECURITIES LLP","Bulk","sell","59725","3146313",,"52.68"
"JHS Svendgaard Retail Ventures Ltd","2024-07-12","MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED","Bulk","sell","34590","1774121.0999999999",,"51.29"
"Jalan Transolutions (India) Ltd","2024-07-12","MANISH JALAN","Bulk","sell","204000","707880","1.4032944400648817","3.47"
"IFCI Ltd","2024-07-12","HRTI PRIVATE LIMITED","Bulk","sell","14409788","988799652.5600001","0.6562049073494554","68.62"
"IFCI Ltd","2024-07-12","HRTI PRIVATE LIMITED","Bulk","buy","13352332","917438731.7199999","0.608049596771248","68.71"
"Hindustan Oil Exploration Company Ltd","2024-07-12","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","865545","200953582.64999998","0.654346421516713","232.17"
"GTL Infrastructure Ltd","2024-07-12","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","92015663","292609808.34000003","0.7261851225146715","3.18"
"GP Eco Solutions India Ltd","2024-07-12","SOHAM FINCARE INDIA LLP","Bulk","sell","67200","28605696","0.9333333333333333","425.68"
"GP Eco Solutions India Ltd","2024-07-12","SOHAM FINCARE INDIA LLP","Bulk","buy","68400","29071368","0.95","425.02"
"Genus Paper & Boards Ltd","2024-07-12","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","1309561","33118797.689999998","0.5093072289789198","25.29"
"Ganesh Green Bharat Ltd","2024-07-12","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","399600","151468380","2.1943986820428334","379.05"
"Engineers India Ltd","2024-07-12","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","2950961","870976139.15","0.5249643570552468","295.15"
"EFFWA Infra & Research Ltd","2024-07-12","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","353600","57831280.00000001","1.9831336057188278","163.55"
"Arvind and Company Shipping Agencies Ltd","2024-07-12","LIESHA CORPORATION PRIVATE LIMITED .","Bulk","sell","78000","5621459.999999999","1.0386151797603196","72.07"
"Arvind and Company Shipping Agencies Ltd","2024-07-12","LIESHA CORPORATION PRIVATE LIMITED .","Bulk","buy","87000","6321420","1.1584553928095873","72.66"
"Ambey Laboratories Ltd","2024-07-12","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","262000","24549400","14.761045713043018","93.7"
"Winny Immigration & Education Services Ltd","2024-07-12","SALIKRAMVIJENDRATIWARI","Bulk","sell","17000","5643320","1.1198945981554678","331.96"
"Winny Immigration & Education Services Ltd","2024-07-12","BIPINBHAI DEVABHAI RAVAL","Bulk","buy","21000","6640620.000000001","1.383399209486166","316.22"
"Varanium Cloud Ltd","2024-07-12","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","228000","6671280","0.5553623417182854","29.26"
"Trucap Finance Ltd","2024-07-12","IND SWIFT LABORATORIES LIMITED","Bulk","sell","751224","36975245.28","0.6464103909181347","49.22"
"Trucap Finance Ltd","2024-07-12","IND SWIFT LABORATORIES LIMITED","Bulk","buy","943762","46725656.62","0.8120847621397621","49.51"
"Shreyas Shipping and Logistics Ltd","2024-07-12","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","228709","96503762.55","1.0415969772196176","421.95"
"shipping corporation of India Ltd","2024-07-12","AAKRAYA RESEARCH LLP","Bulk","sell","2986375","1084143716.25","0.6411295292362257","363.03"
"Sabar Flex India Ltd","2024-07-12","GREEN PEAKS ENTERPRISES LLP","Bulk","sell","175000","4366250","1.1612841918563586","24.95"
"Railtel Corporation of India Ltd","2024-07-12","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","2422095","1368096139.8000002","0.754691538055774","564.84"
"Oriental Carbon & Chemicals Ltd","2024-07-12","HDFC MUTUAL FUND","Bulk","sell","66017","16442194.02","0.660824745157502","249.06"
"Medicamen Organics Ltd","2024-07-12","CINCO STOCK VISION LLP","Bulk","sell","140000","16653000","1.627906976744186","118.95"
"Mahanagar Telephone Nigam Ltd","2024-07-12","JAINAM BROKING LIMITED","Bulk","buy","1572170","70464659.4","0.24955079365079366","44.82"
"Kellton Tech Solutions Ltd","2024-07-12","AAKRAYA RESEARCH LLP","Bulk","buy","638683","98855354.74","0.6616365000770376","154.78"
"Kamdhenu Ventures Ltd","2024-07-12","SKSE SECURITIES LTD","Bulk","sell","1858986","75103034.39999999","2.9568258815670183","40.4"
"Shine Fashions (India) Ltd","2024-07-12","TRANS MEDIA PVT LTD","Bulk","buy","58500","13285350","2.090779127948535","227.1"
"Sai Swami Metals and Alloys Ltd","2024-07-12","SOMANI VENTURES AND INNOVATIONS LIMITED","Bulk","sell","62000","3517260",,"56.73"
"Pro Fin Capital Services Ltd","2024-07-12","VINAY ARUNKUMAR SANKLECHA","Bulk","sell","1427521","1541722.6800000002","0.6733367294476126","1.08"
"Pro Fin Capital Services Ltd","2024-07-12","LOVLESH JAIN","Bulk","buy","1500000","1620000","0.7075238081761451","1.08"
"Prism Medico and Pharmacy Ltd","2024-07-12","JASKIRAN KAUR","Bulk","buy","52492","1566886.2000000002","0.8657149058255496","29.85"
"Money Masters Leasing and Finance Ltd","2024-07-12","KARUNA KISHOR KADAM","Bulk","sell","150000","24901500","1.4942874883607458","166.01"
"Kanungo Financiers Ltd","2024-07-12","JABALI COMMERCIAL COMPANY PRIVATE LIMITED .","Bulk","sell","115630","793221.8","2.4952524816573156","6.86"
"Jackson Investments Ltd","2024-07-12","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","3397542","2378279.4","1.1687127343050872","0.7"
"Gilada Finance and Investments Ltd","2024-07-12","SUNIL HUKUMAT RAJDEV","Bulk","sell","70981","716908.1","0.5052316146115081","10.1"
"United Cotfab Ltd","2024-07-12","EVERMORE SHARE BROKING PRIVATE LIMITED","Bulk","buy","2000","147980","0.01665833749791771","73.99"
"United Cotfab Ltd","2024-07-12","EVERMORE SHARE BROKING PRIVATE LIMITED","Bulk","sell","136000","9869520","1.1327669498584043","72.57"
"Chandra Bhagat Pharma Ltd","2024-07-12","PRIYASHA MEVEN FINANCE LTD.","Bulk","sell","79000","5108140","1.0470432558751055","64.66"
"Chandra Bhagat Pharma Ltd","2024-07-12","CONTACT CONSULTANCY SERVICES PRIVATE LIMITED","Bulk","buy","765000","48982950","10.139089756258933","64.03"
"Bridge Securities Ltd","2024-07-12","GREEN PEAKS ENTERPRISES LLP","Bulk","sell","169400","765687.9999999999","5.039716776247285","4.52"
"Bridge Securities Ltd","2024-07-12","SURENDRA KUMAR SHARMA","Bulk","sell","200010","930046.5000000001","5.950376342486538","4.65"
"Bridge Securities Ltd","2024-07-12","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","480602","2234799.3000000003","14.298098949811084","4.65"
"Achyut Healthcare Ltd","2024-07-12","ISEM  MEHMET","Bulk","buy","198000","11444400","1.4123882413029358","57.8"
"Achyut Healthcare Ltd","2024-07-12","SERA INVESTMENTS & FINANCE INDIA LIMITED","Bulk","sell","198000","11444400","1.4123882413029358","57.8"
"Franklin Industries Ltd","2024-07-11","SAJM GLOBAL IMPEX PRIVATE LIMITED","Bulk","sell","1500000","6120000","4.1660417604026065","4.08"
"Godrej Properties Ltd","2024-07-11","Nyrika Holkar","Insider - Promoter Group","buy","664400","2201755160","0.23895715644206375","3313.9"
"Godrej Agrovet Ltd","2024-07-11","Jamshyd Naoroji Godrej Revised","Insider - Promoter Group","buy","1036539","829283027","0.5392718128489534","800.0500000482375"
"Godrej Agrovet Ltd","2024-07-11","Navroze Jamshyd Godrej Revised","Insider - Promoter Group","buy","1036539","829283027","0.5392718128489534","800.0500000482375"
"Jai Balaji Industries Ltd","2024-07-11","SHRI MAHATEJAS VINIMAY PRIVATE LIMITED","Insider - Promoter Group","buy","5000000","225000000","3.4376006658384983","45"
"HCL Technologies Ltd","2024-07-11","HCL Technologies Stock Options Trust","Insider - Designated Person","sell","64834","98223510","0.00238916733297586","1515"
"Pro Fin Capital Services Ltd","2024-07-11","ABHAY NARAIN GUPTA","Insider - Promoter","buy","1475000","1607750","0.6957317447065428","1.09"
"Z-Tech (India) Ltd","2024-07-11","KINGSMAN WEALTH FUND PCC - KIF II","Bulk","sell","79200","22659120","0.8420157346374655","286.1"
"Winny Immigration & Education Services Ltd","2024-07-11","JOLLY ANKIT SHAH","Bulk","buy","69000","23379960","4.545454545454546","338.84"
"Varanium Cloud Ltd","2024-07-11","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","378000","11623500","0.920732303375052","30.75"
"Trucap Finance Ltd","2024-07-11","IND SWIFT LABORATORIES LIMITED","Bulk","sell","1485653","72187879.27000001","1.2783690836537431","48.59"
"Trucap Finance Ltd","2024-07-11","IND SWIFT LABORATORIES LIMITED","Bulk","buy","1006834","49163704.22","0.8663567185415658","48.83"
"Great Eastern Shipping Company Ltd","2024-07-11","HRTI PRIVATE LIMITED","Bulk","sell","593023","872668925.88","0.4153630836121405","1471.56"
"D Link (India) Limited","2024-07-11","AAKRAYA RESEARCH LLP","Bulk","sell","251357","166227411.24","0.7079511672348989","661.32"
"Divine Power Energy Ltd","2024-07-11","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","129000","15263280","0.8175381581182173","118.32"
"Bajaj Hindusthan Sugar Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","7183441","313557199.65","0.5623662339647724","43.65"
"Atul Auto Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","162841","128362675.07","0.6819358097311944","788.27"
"Atul Auto Ltd","2024-07-11","PRRSAAR COMMODITIES PVT LTD","Bulk","sell","143856","112417709.76","0.6024315611221418","781.46"
"shipping corporation of India Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","4664894","1420646818.76","1.001482162875357","304.54"
"Shipping Corporation of India Land and Assets Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","2358797","227647498.47","0.5063980277673841","96.51"
"Sakuma Exports Ltd","2024-07-11","VIKRAMBHAI GOKALBHAI CHAUDHARI","Bulk","buy","2037837","62745001.23","0.8653407556487541","30.79"
"Navkar Corporation Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","898448","113464997.92","0.5968993413537109","126.29"
"KCP Sugar and Industries Corp Ltd","2024-07-11","ANKITA VISHAL SHAH","Bulk","sell","442132","24029874.2","0.38993853246084914","54.35"
"Ishan International Ltd","2024-07-11","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","1584000","3405600","0.7325353784759185","2.15"
"SVS Ventures Ltd","2024-07-11","ABDUL AHAD SHAKEEL MISTRY","Bulk","buy","168000","1842960","0.7868992884603702","10.97"
"SVS Ventures Ltd","2024-07-11","SHASHIKANT VEDPRAKASH SHARMA","Bulk","sell","600000","6582000","2.810354601644179","10.97"
"Srestha Finvest Ltd","2024-07-11","SYLPH TECHNOLOGIES LIMITED","Bulk","sell","2550000","5406000","0.7584159634961013","2.12"
"SPEL Semiconductor Ltd","2024-07-11","TOPGAIN FINANCE PRIVATE LIMITED","Bulk","buy","250000","51132500","0.5419173034194982","204.53"
"Sirohia & Sons Ltd","2024-07-11","RITU  KAKRANIA","Bulk","sell","70000","1008700","0.6825877330013228","14.41"
"Sirohia & Sons Ltd","2024-07-11","MANISH KAKRANIA","Bulk","sell","130000","1874600","1.2676629327167424","14.42"
"Sharika Enterprises Ltd","2024-07-11","RAJKUMAR SHYAMNARAYAN SINGH","Bulk","sell","219914","5986059.08","0.5078845265588915","27.22"
"Shalimar Productions Ltd","2024-07-11","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","10000000","7100000","1.0159211990481474","0.71"
"Sawaca Business Machines Ltd","2024-07-11","SAGAR RAJESHBHAI JHAVERI (HUF)","Bulk","sell","50000000","34000000",,"0.68"
"Samyak International Ltd","2024-07-11","VENKATA SUBBARAO BOMMISETTY","Bulk","sell","50","1551","0.0008003585606351644","31.02"
"Samyak International Ltd","2024-07-11","ALPANA KHANDELWAL","Bulk","buy","21000","666750","0.33615059546676906","31.75"
"Samyak International Ltd","2024-07-11","ALPANA KHANDELWAL","Bulk","sell","54087","1704822.24","0.8657798693814828","31.52"
"Retro Green Revolution Ltd","2024-07-11","VASANADU  GOVIND","Bulk","buy","50000","449000","0.5532197388802832","8.98"
"Pro Fin Capital Services Ltd","2024-07-11","VINAY ARUNKUMAR SANKLECHA","Bulk","sell","1830000","1976400.0000000002","0.863179045974897","1.08"
"New Light Apparels Ltd","2024-07-11","RDS CORPORATE SERVICES PRIVATE LIMITED","Bulk","buy","121866","3155110.74","5.548872385861226","25.89"
"New Light Apparels Ltd","2024-07-11","DIPTI  DARGAN","Bulk","sell","166711","4316147.79","7.590780564877085","25.89"
"Khoobsurat Ltd","2024-07-11","DEALMONEY COMMODITIES PRIVATE LIMITED","Bulk","buy","3579512","4903931.44","2.1030305478520517","1.37"
"GEM Enviro Management Ltd","2024-07-11","SHARE INDIA SECURITIES LIMITED","Bulk","sell","116800","31418032","1.1095911232710138","268.99"
"Yarn Syndicate Ltd","2024-07-11","ASHWINI NIRAJ SINGH","Bulk","sell","25000","1326000","0.643718115837075","53.04"
"Vasudhagama Enterprises Ltd","2024-07-11","DEV GANPAT PAWAR","Bulk","sell","192767","6191676.039999999","5.211166782099713","32.12"
"GEM Enviro Management Ltd","2024-07-11","SOHAM FINCARE INDIA LLP","Bulk","sell","243200","64613376","2.3103815169478645","265.68"
"Gconnect Logitech and Supply Chain Ltd","2024-07-11","VAXFAB ENTERPRISES LIMITED","Bulk","sell","21000","1734390","3.8903528142441743","82.59"
"Franklin Industries Ltd","2024-07-11","EPITOME TRADING AND INVESTMENTS","Bulk","buy","1000000","4030000.0000000005","2.7773611736017374","4.03"
"Escorp Asset Management Ltd","2024-07-11","INVESTINO VENTURE LLP .","Bulk","buy","103075","7751240","0.9272127010193988","75.2"
"Bridge Securities Ltd","2024-07-11","GREEN PEAKS ENTERPRISES LLP","Bulk","buy","169490","750840.7","5.04239431172463","4.43"
"Bridge Securities Ltd","2024-07-11","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","400000","1768000","11.900157677089222","4.42"
"Ascensive Educare Ltd","2024-07-11","GIRIJADHAVA VYAPAAR PRIVATE LIMITED","Bulk","sell","24000","2758080","0.7478695067426668","114.92"
"Aryaman Capital Markets Ltd","2024-07-11","WAJID  AHMED","Bulk","sell","107500","15012375","0.8975442021733762","139.65"
"Godrej Properties Ltd","2024-07-11","NYRIKA HOLKAR","Block","buy","664400","2201755160","0.23895715644206375","3313.9"
"Godrej Properties Ltd","2024-07-11","FREYAN CRISHNA BIERI","Block","buy","664400","2201755160","0.23895715644206375","3313.9"
"Godrej Agrovet Ltd","2024-07-11","SMITA GODREJ CRISHNA","Block","buy","691026","552855351.3","0.35951454189930226","800.05"
"Godrej Agrovet Ltd","2024-07-11","NAVROZE JAMSHYD GODREJ","Block","buy","1036539","829283026.9499999","0.5392718128489534","800.05"
"Godrej Agrovet Ltd","2024-07-11","JAMSHYD NAOROJI GODREJ","Block","buy","1036539","829283026.9499999","0.5392718128489534","800.05"
"India Grid Trust","2024-07-11","MYRON WEALTH MANAGEMENT PRIVATE LIMITED","Block","buy","1090910","150000125","0.1392052777316983","137.5"
"India Grid Trust","2024-07-11","ADITYA BIRLA SUN LIFE MUTUAL FUND","Block","sell","1090910","150000125","0.1392052777316983","137.5"
"Godrej Properties Ltd","2024-07-11","Navroze Jamshyd Godrej","Insider - Promoter Group","buy","996600","3302632740","0.35843573466309564","3313.9"
"Godrej Agrovet Ltd","2024-07-11","RKN Enterprises Revised","Insider - Promoter Group","sell","4146156","3317132108","2.1570872513958137","800.0500000482375"
"Teamo Productions HQ Ltd","2024-07-11","VIBRANT SECURITIES PVT. LTD","Bulk","sell","4483410","7935635.7","0.8736853917377548","1.77"
"Teamo Productions HQ Ltd","2024-07-11","VIBRANT SECURITIES PVT. LTD","Bulk","buy","2626356","4622386.56","0.5117999180763755","1.76"
"shipping corporation of India Ltd","2024-07-11","QE SECURITIES LLP","Bulk","sell","2578300","811623057","0.5535220008303582","314.79"
"Shipping Corporation of India Land and Assets Ltd","2024-07-11","QE SECURITIES LLP","Bulk","buy","2160217","210750770.52","0.4637659062435534","97.56"
"Sakuma Exports Ltd","2024-07-11","HRTI PRIVATE LIMITED","Bulk","buy","1717088","52663088.96","0.7291388994484878","30.67"
"Nova Agritech Ltd","2024-07-11","TRAPAL TRADING PRIVATE LIMITED","Bulk","sell","485424","33256398.240000002","0.7741671257109338","68.51"
"Nova Agritech Ltd","2024-07-11","TRAPAL TRADING PRIVATE LIMITED","Bulk","buy","455424","31091796.479999997","0.7263223265841333","68.27"
"Mazda Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","24699","38782369.800000004","0.6167041198501872","1570.2"
"Mazda Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","24699","38747544.21","0.6167041198501872","1568.79"
"JHS Svendgaard Retail Ventures Ltd","2024-07-11","RAKESH KUMAR UPPAL","Bulk","sell","43001","2314743.83",,"53.83"
"JHS Svendgaard Retail Ventures Ltd","2024-07-11","MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED","Bulk","buy","46801","2514617.73",,"53.73"
"JHS Svendgaard Retail Ventures Ltd","2024-07-11","ARPIT JAIN HUF","Bulk","buy","110305","5854989.399999999",,"53.08"
"Ishan International Ltd","2024-07-11","HITENDRA ABHESINH JHALA","Bulk","sell","1680000","3628800.0000000005","0.7769314620199136","2.16"
"Winny Immigration & Education Services Ltd","2024-07-11","SHREEYANSH EDUTRADE LLP","Bulk","sell","15000","4968000","0.9881422924901185","331.2"
"Winny Immigration & Education Services Ltd","2024-07-11","MATALIA STOCK BROKING PRIVATE LIMITED","Bulk","sell","19000","6186209.999999999","1.251646903820817","325.59"
"Winny Immigration & Education Services Ltd","2024-07-11","ALTAB USMANBHAI PATHAN","Bulk","buy","51000","17108460","3.3596837944664033","335.46"
"Winny Immigration & Education Services Ltd","2024-07-11","VIKRAMKUMAR KARANRAJ SAKARIA HUF DAKSH CORPORATION","Bulk","buy","22000","7438860","1.4492753623188406","338.13"
"Winny Immigration & Education Services Ltd","2024-07-11","LIESHA CORPORATION PRIVATE LIMITED .","Bulk","buy","87000","29721810","5.7312252964426875","341.63"
"Varanium Cloud Ltd","2024-07-11","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","461000","14263340","1.1229036821584628","30.94"
"Trucap Finance Ltd","2024-07-11","SARVAGAY TEXTILE LLP","Bulk","buy","600000","29070000","0.516285734415941","48.45"
"Tribhovandas Bhimji Zaveri Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","496149","73752548.85000001","0.7435102506165835","148.65"
"Tribhovandas Bhimji Zaveri Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","496149","73782317.79","0.7435102506165835","148.71"
"HPL Electric & Power Ltd","2024-07-11","QE SECURITIES LLP","Bulk","buy","320244","173453757.72","0.4980428919308635","541.63"
"Hindustan Oil Exploration Company Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","777150","173522052","0.5875203732696895","223.28"
"Godrej Agrovet Ltd","2024-07-11","R K N ENTERPRISES","Bulk","sell","4146156","3317132107.7999997","2.1570872513958137","800.05"
"D Link (India) Limited","2024-07-11","HRTI PRIVATE LIMITED","Bulk","sell","307895","203527831.85","0.867191383712366","661.03"
"D Link (India) Limited","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","328476","217010954.16","0.9251581122015725","660.66"
"Bajaj Hindusthan Sugar Ltd","2024-07-11","HRTI PRIVATE LIMITED","Bulk","buy","8684536","378385233.52","0.6798816617344652","43.57"
"Anik Industries Ltd","2024-07-11","G R D SECURITIES LIMITED","Bulk","sell","20463","1260520.8","0.07373127829779653","61.6"
"Almondz Global Securities Ltd","2024-07-11","NAVIN KUMAR GUPTA","Bulk","sell","314879","45446486.07","1.2164550953454953","144.33"
"Godrej Agrovet Ltd","2024-07-11","R K N ENTERPRISES","Block","sell","4146156","3317132107.7999997","2.1570872513958137","800.05"
"Vasudhagama Enterprises Ltd","2024-07-11","SYNEMATIC MEDIA AND CONSULTING PRIVATE LIMITED","Bulk","sell","305313","9809706.690000001","8.253679124244346","32.13"
"Sprayking Ltd","2024-07-11","JIGNESH AMRUTLAL THOBHANI","Bulk","buy","500000","19045000","0.9460977636832042","38.09"
"Sawaca Business Machines Ltd","2024-07-11","SHOBHABEN MANSUKHBHAI BHUT","Bulk","buy","3600000","2448000","24.232220747782087","0.68"
"Sawaca Business Machines Ltd","2024-07-11","MITESH  MAKVANA","Bulk","buy","4528000","3079040","30.478748762765914","0.68"
"JHS Svendgaard Retail Ventures Ltd","2024-07-11","ARPIT JAIN HUF","Bulk","buy","13604","699381.6399999999",,"51.41"
"PVV Infra Ltd","2024-07-11","KOTVAK LOGISTICS LLP","Bulk","sell","156973","3324688.14","0.5692405705914666","21.18"
"PVV Infra Ltd","2024-07-11","MANI SOFTWARE TECHNOLOGIES PVT LTD","Bulk","sell","190254","4027677.18","0.6899294497608435","21.17"
"GEM Enviro Management Ltd","2024-07-11","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .","Bulk","sell","179200","50229760","1.7023863809089528","280.3"
"Garment Mantra Lifestyle Ltd","2024-07-11","RIKHAV SECURITIES LIMITED","Bulk","sell","529000","4062720","0.5269761481032097","7.68"
"Franklin Industries Ltd","2024-07-11","HJS SECURITIES PRIVATE LIMITED","Bulk","buy","754350","3017400","2.0951024013064705","4"
"Franklin Industries Ltd","2024-07-11","CRONY VYAPAR PVT LTD","Bulk","sell","900000","3600000","2.499625056241564","4"
"Franklin Industries Ltd","2024-07-11","HJS SECURITIES PRIVATE LIMITED","Bulk","sell","1122313","4489252","3.117068550828487","4"
"Franklin Industries Ltd","2024-07-11","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","1500000","6120000","4.1660417604026065","4.08"
"Franklin Industries Ltd","2024-07-11","MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","2000000","8000000","5.554722347203475","4"
"Franklin Industries Ltd","2024-07-11","EPITOME TRADING AND INVESTMENTS","Bulk","sell","2500000","10000000","6.943402934004344","4"
"Franklin Industries Ltd","2024-07-11","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","buy","16537909","66151636","45.931746349158736","4"
"Eiko Lifesciences Ltd","2024-07-11","JOYANTAKUMARJANA","Bulk","buy","83350","5625291.5","0.8686279241128424","67.49"
"Dindigul Farm Product Ltd","2024-07-11","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","sell","214000","27980500","14.879710749548046","130.75"
"Bridge Securities Ltd","2024-07-11","GLOBALWORTH SECURITIES LIMITED","Bulk","sell","205970","871253.1000000001","6.127688691875167","4.23"
"A F Enterprises Ltd","2024-07-11","SEIFER RICHARD MASCARENHAS","Bulk","buy","131552","1487853.12","0.9320914893936616","11.31"
"Franklin Industries Ltd","2024-07-11","SAHASTRAA ADVISORS PRIVATE LIMITED","Bulk","buy","1500000","6120000","4.1660417604026065","4.08"
"Ascensive Educare Ltd","2024-07-11","KATHA CHAKRABORTY","Bulk","sell","22000","2292840","0.6855470478474446","104.22"
"Shiva Granito Export Ltd","2024-07-11","Abhinav Upadhyay","Insider - Promoter & Director","sell","100000","1438500","0.7567129901135448","14.385"
"Himalaya Food International Ltd","2024-07-11","Doon Valley Food Private Limited","Insider - Promoter Group","sell","18504","447756","0.03197352321339299","24.19779507133593"
"Godrej Properties Ltd","2024-07-11","Smita Godrej Crishna   jointly with the second holder","Insider - Promoter Group","buy","664400","2201755160","0.23895715644206375","3313.9"
"Godrej Agrovet Ltd","2024-07-11","Nyrika Holkar Revised","Insider - Promoter Group","buy","691026","552855351","0.35951454189930226","800.0499995658629"
"Z-Tech (India) Ltd","2024-07-11","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","sell","105600","30212160.000000004","1.1226876461832873","286.1"
"Winny Immigration & Education Services Ltd","2024-07-11","JOLLY ANKIT SHAH","Bulk","sell","69000","23579370","4.545454545454546","341.73"
"Winny Immigration & Education Services Ltd","2024-07-11","ALTAB USMANBHAI PATHAN","Bulk","sell","51000","17464950","3.3596837944664033","342.45"
"Winny Immigration & Education Services Ltd","2024-07-11","LIESHA CORPORATION PRIVATE LIMITED .","Bulk","sell","69000","23517960","4.545454545454546","340.84"
"Winny Immigration & Education Services Ltd","2024-07-11","MATALIA STOCK BROKING PRIVATE LIMITED","Bulk","buy","19000","6050170","1.251646903820817","318.43"
"Varanium Cloud Ltd","2024-07-11","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","sell","457000","14107590","1.1131604831809492","30.87"
"Varanium Cloud Ltd","2024-07-11","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","557000","17161170","1.3567404576187936","30.81"
"Trucap Finance Ltd","2024-07-11","CORE4 MARCOM PRIVATE LIMITED","Bulk","sell","600000","29070000","0.516285734415941","48.45"
"Hindustan Oil Exploration Company Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","777150","173638624.5","0.5875203732696895","223.43"
"Gokaldas Exports Ltd","2024-07-11","SBI MUTUAL FUND","Bulk","sell","4332080","4115476000","7.151243733821889","950"
"Faze Three Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","136313","72248616.25999999","0.5605205806159793","530.02"
"Faze Three Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","136313","72086403.79","0.5605205806159793","528.83"
"Banaras Beads Ltd","2024-07-11","PRAGNESH ROHITKUMAR PANDYA","Bulk","buy","2504","266625.92","0.03773231214989492","106.48"
"Bajaj Hindusthan Sugar Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","sell","7183441","313772702.88","0.5623662339647724","43.68"
"Bajaj Healthcare Ltd","2024-07-11","GRAVITON RESEARCH CAPITAL LLP","Bulk","buy","142829","57121601.97","0.5175263783407734","399.93"
"Annapurna Swadisht Ltd","2024-07-11","NEOWORTH COMMERCIAL PRIVATE LIMITED","Bulk","sell","88000","26803040","0.5358665205212519","304.58"
"Ambey Laboratories Ltd","2024-07-11","MANSI SHARE AND STOCK ADVISORS PVT LTD","Bulk","buy","250000","21250000","14.084967283437994","85"
"Patel Integrated Logistics Ltd","2024-07-11","HRTI PRIVATE LIMITED","Bulk","buy","454902","11563608.84","0.7004063231832088","25.42"
"KCP Sugar and Industries Corp Ltd","2024-07-11","QE SECURITIES LLP","Bulk","buy","516881","26795111.040000003","0.45586344937008894","51.84"
"Jaiprakash Associates Ltd","2024-07-11","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","Bulk","sell","34763289","256205439.93","1.4162531878366735","7.37"
"Hrh Next Services Ltd","2024-07-11","LIESHA CORPORATION PRIVATE LIMITED .","Bulk","buy","99000","4992570","1.596774193548387","50.43"
"India Grid Trust","2024-07-11","ADITYA BIRLA SUN LIFE MUTUAL FUND","Block","sell","1454545","199999937.5","0.18560682430104508","137.5"
"India Grid Trust","2024-07-11","BENNETT COLEMAN AND  CO LTD","Block","buy","1454545","199999937.5","0.18560682430104508","137.5"
